server,test,rps,responses,failures,replicas
Go-auth-srv4-dbs,1000/100,306,1000,0,4
Go-auth-srv4-dbs,1000/200,288,1000,0,4
Go-auth-srv4-dbs,1000/300,248,800,0,4
Go-auth-srv4-dbs,1000/400,237,800,0,4
Go-auth-srv4-dbs,1000/500,237,1000,0,4
Apache-srv4-dbs,1000/100,16,993,7,4
Apache-srv4-dbs,1000/200,12,855,145,4
Apache-srv4-dbs,1000/300,11,676,124,4
Apache-srv4-dbs,1000/400,13,525,275,4
Apache-srv4-dbs,1000/500,10,396,604,4
Go-auth-srv8-dbs,1000/100,321,1000,0,8
Go-auth-srv8-dbs,1000/200,323,1000,0,8
Go-auth-srv8-dbs,1000/300,314,800,0,8
Go-auth-srv8-dbs,1000/400,274,800,0,8
Go-auth-srv8-dbs,1000/500,302,1000,0,8
Apache-srv8-dbs,1000/100,11,875,7,8
Apache-srv8-dbs,1000/200,11,819,145,8
Apache-srv8-dbs,1000/300,10,651,149,8
Apache-srv8-dbs,1000/400,13,518,282,8
Apache-srv8-dbs,1000/500,11,422,678,8
